param_estimator,param_n_estimators,param_learning_rate,mean_test_score,mean_train_score,std_test_score,std_train_score
DecisionTreeClassifier(max_depth=7),25,0.03,0.8226413909986819,0.9304198118410891,0.02689666938937405,0.015000641928180382
DecisionTreeClassifier(max_depth=7),50,0.03,0.8327600276191074,0.9309816095938983,0.022385043258095344,0.021486266000940422
DecisionTreeClassifier(max_depth=7),100,0.03,0.8226727763480006,0.9427647856028493,0.018305048598822243,0.017850651682169642
DecisionTreeClassifier(max_depth=7),200,0.03,0.8293892411022534,0.9607198575413272,0.014643517426794756,0.012634111208943035
DecisionTreeClassifier(max_depth=7),25,0.1,0.8271671583704727,0.9455702286587769,0.02224556187467107,0.014026084788930845
DecisionTreeClassifier(max_depth=7),50,0.1,0.8204255853367648,0.9579144144853995,0.013767041004341507,0.012756804802289808
DecisionTreeClassifier(max_depth=7),100,0.1,0.8271483271608814,0.9674539451912318,0.023756040078683194,0.007696689041421057
DecisionTreeClassifier(max_depth=7),200,0.1,0.8305191136777352,0.9761511732354192,0.026014308663103794,0.003652820471649775
DecisionTreeClassifier(max_depth=7),25,0.3,0.8327663046889713,0.9778334147532975,0.014880794689213645,0.0016425424079638815
DecisionTreeClassifier(max_depth=7),50,0.3,0.8271797125102003,0.9879343492443702,0.023783788722392174,0.004218754832703673
DecisionTreeClassifier(max_depth=7),100,0.3,0.8249262444291003,0.9983161826118474,0.013798627276155514,0.0016361518183570206
DecisionTreeClassifier(max_depth=7),200,0.3,0.8193208210407381,0.9991580913059236,0.016231116604365988,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),25,1.0,0.7968551879982424,0.9991580913059236,0.012540253446216891,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),50,1.0,0.794620551126734,0.9991580913059236,0.018571922381944966,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),100,1.0,0.8013684012303056,0.9991580913059236,0.020047485173429892,0.0006874159464804997
DecisionTreeClassifier(max_depth=7),200,1.0,0.8002448057246877,0.9991580913059236,0.019421700486775374,0.0006874159464804997
