param_ccp_alpha,param_max_features,param_min_samples_split,mean_test_score,mean_train_score,std_test_score,std_train_score
0.005,40,5,0.8361370912058252,0.8838386624013111,0.015258948743677263,0.008750367184709992
0.005,40,10,0.8338961772644529,0.8827166427659675,0.016870477459121683,0.0089770790135795
0.005,50,2,0.838390559286925,0.8891706194746047,0.019203334689537936,0.007967738493299497
0.005,50,5,0.8361433682756889,0.8900113462659753,0.017863810771699924,0.00678804378348905
0.005,50,10,0.8439834285355596,0.8846805710953873,0.01834934724701642,0.007695689878610416
0.005,70,2,0.8383842822170611,0.8911341538364562,0.019903217670654942,0.007008906223510874
0.005,70,5,0.8406126420187057,0.8911337598688875,0.019769228689301727,0.007181133334803395
0.005,70,10,0.8383842822170612,0.8869257922687804,0.020832956570127504,0.007113992111275287
0.01,10,2,0.8181721172556651,0.8324924752194398,0.016986168589727225,0.00555487683193568
0.01,10,5,0.8170547988199109,0.8313692736813906,0.01655923866574083,0.005124699118684533
0.01,10,10,0.8181658401858012,0.8319302834990625,0.01667071583903045,0.005281026969859571
0.01,20,2,0.8204130311970372,0.8347349386198528,0.017888272508421264,0.0063937506854648725
0.01,20,5,0.8204130311970372,0.8347345446522842,0.017888272508421264,0.006763101155617217
0.01,20,10,0.8192894356914193,0.8347349386198528,0.017687245840529116,0.00773071592799346
0.01,30,2,0.8282656455966355,0.8361394330018752,0.01330238920347726,0.00526873649865231
0.01,30,5,0.8249074132195091,0.8358585341254707,0.01210793571775365,0.005248576003212262
0.01,30,10,0.8282656455966355,0.8375423515136233,0.01330238920347726,0.005193601343736775
0.01,40,2,0.8249074132195091,0.8406298753486613,0.015328887355656282,0.0062756269165063485
0.01,40,5,0.8249011361496453,0.8395066738106121,0.014549118677774434,0.0063587365859356275
0.01,40,10,0.8237838177138912,0.8397875726870165,0.013690296568092898,0.006400420738889587
0.01,50,2,0.8249074132195091,0.8406294813810927,0.013109212201736345,0.007844332925924704
0.01,50,5,0.8237838177138912,0.8406286934459555,0.015009937572477906,0.008623637488364836
0.01,50,10,0.8260247316552632,0.8420320059252722,0.013913779169667266,0.007116221218341415
0.01,70,2,0.8204067541271736,0.8476432860046961,0.01685263387042979,0.008154842267485442
0.01,70,5,0.8204067541271736,0.8473627810958602,0.01685263387042979,0.007593753080533871
0.01,70,10,0.8204067541271736,0.8473623871282916,0.01685263387042979,0.008151068803613229
